# Charging session recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726568987018
# End timestamp: 1726570149937
# Charged Energy: 35192.72658362855
# Charged SoC: 0.0
# Outside Temperature: 15.0
# Lat: 61.883186
# Lon: 8.266954

Timestamp;Charging session id;energy delta; power;SoC;point marker type
1726570080280;84;-115.4555;-82989752.0000;0.58;
1726570085280;84;-115.2404;-82996152.0000;0.58;
1726570090280;84;-117.9915;-83166056.0000;0.58;
1726570095280;84;-115.4164;-83002496.0000;0.59;
1726570100280;84;-115.6839;-83427504.0000;0.59;
1726570105280;84;-115.8470;-83434048.0000;0.59;
1726570110280;84;-115.7642;-83483104.0000;0.59;
1726570115280;84;-115.7952;-83270352.0000;0.59;
1726570120280;84;-115.3169;-80935080.0000;0.59;
1726570125280;84;-112.9754;-81403400.0000;0.59;
1726570130280;84;-113.0493;-81403400.0000;0.59;
1726570135280;84;-113.1701;-81706808.0000;0.60;
1726570140280;84;-113.1750;-74675248.0000;0.60;
1726570145280;84;-15.7407;1131975.0000;0.60;
1726570149931;84;1.4453;1130625.0000;0.60;2
