# Trip recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726563439239
# End timestamp: 1726664212681
# Trip type: 3
# Drive time: 31389914
# Used energy: 135915.16110147838
# Used SoC: 0.0
# Used Soc (Energy): 0.0
# Driven distance: 730146.7889205553
# Note:
# Last edited: 1726604529250

Timestamp;Energy delta;Distance delta;Point Marker Type;SoC;lat;lon;alt
1726564686742;76.6596;105.2725;;0.33;62.059570;7.264629;693
1726564697340;82.5081;111.0927;;0.33;62.060257;7.263421;696
1726564706849;63.5320;101.9765;;0.33;62.060524;7.261528;704
1726564716450;67.2548;102.7891;;0.33;62.060398;7.259540;712
1726564728142;41.8075;102.5893;;0.33;62.059837;7.258080;720
1726564741652;72.9591;102.8240;;0.33;62.059746;7.258456;722
1726564758755;75.7853;101.5402;;0.33;62.059834;7.259187;731
1726564770351;72.5513;108.6088;;0.33;62.058731;7.258276;742
1726564781954;59.6047;102.5894;;0.33;62.057953;7.258598;749
1726564796651;81.9675;108.7945;;0.33;62.057240;7.258348;758
1726564807453;64.5108;100.1830;;0.32;62.057579;7.259878;764
1726564817942;65.4575;106.7183;;0.32;62.058105;7.261302;773
1726564832652;77.0095;102.7946;;0.32;62.057995;7.262116;781
1726564843250;71.7466;103.7549;;0.32;62.057507;7.260608;788
1726564853950;69.6610;107.9561;;0.32;62.056660;7.259884;796
1726564864651;83.7056;109.6625;;0.32;62.055912;7.258894;806
1726564874341;65.3566;103.1308;;0.32;62.055103;7.257863;815
1726564883951;61.6557;105.4672;;0.32;62.054146;7.257445;823
1726564897653;83.1521;106.0288;;0.32;62.053154;7.256511;833
1726564910450;58.5120;105.6586;;0.32;62.052097;7.255520;846
1726564921052;75.7024;102.1567;;0.31;62.052670;7.254254;809
1726564932651;74.3368;105.2092;;0.31;62.052273;7.253147;854
1726564942150;102.5917;102.3207;;0.31;62.052521;7.251910;865
1726564951541;43.9100;103.5157;;0.31;62.053551;7.251488;876
1726564962253;83.4934;109.7932;;0.31;62.053780;7.249725;885
1726564974851;79.1213;106.7202;;0.31;62.053513;7.248898;845
1726564983450;88.9990;104.7959;;0.31;62.052807;7.249928;894
1726564992950;53.3334;100.7343;;0.31;62.051792;7.250494;907
1726565003451;79.2142;107.0278;;0.31;62.050922;7.250740;917
1726565012953;85.5901;105.5970;;0.31;62.050076;7.251513;925
1726565021650;87.9250;109.3931;;0.30;62.049084;7.252312;936
1726565030253;78.0399;105.7929;;0.30;62.048069;7.252651;948
1726565037451;91.4399;101.3779;;0.30;62.047508;7.253048;954
1726565045050;49.4700;110.2033;;0.30;62.046890;7.253541;960
1726565052651;35.1459;103.1121;;0.30;62.045719;7.253030;967
1726565060051;30.4260;103.1224;;0.30;62.045132;7.253227;968
1726565067552;50.6424;101.5378;;0.30;62.043964;7.253920;974
1726565074950;48.4688;110.8228;;0.30;62.043449;7.254651;976
1726565081349;28.4096;104.3132;;0.30;62.042057;7.254704;980
1726565088651;15.6197;107.1611;;0.30;62.041355;7.254613;981
1726565095851;33.1871;106.5172;;0.30;62.040165;7.255671;984
1726565103451;44.9101;109.7345;;0.30;62.039673;7.256634;986
1726565110849;50.8497;105.5109;;0.30;62.038559;7.257731;994
1726565118150;47.9528;101.3524;;0.30;62.037994;7.258293;998
1726565125751;69.6781;111.8575;;0.30;62.036594;7.258402;1007
1726565133151;52.3877;110.0639;;0.29;62.035946;7.258671;1011
1726565140550;60.8474;114.7089;;0.29;62.034916;7.260109;1018
1726565146852;62.8166;102.0544;;0.29;62.034504;7.261694;1023
1726565153050;26.5844;101.9958;;0.29;62.034351;7.263284;884
1726565159451;39.5896;100.9247;;0.29;62.033875;7.264340;1003
1726565166851;64.4951;115.0232;;0.29;62.032860;7.266144;1030
1726565173151;18.8294;101.1018;;0.29;62.032463;7.267435;1034
1726565179550;23.3435;108.3210;;0.29;62.031754;7.267758;1034
1726565185850;25.9437;109.9840;;0.29;62.030613;7.269763;1034
1726565192250;-9.0032;110.5113;;0.29;62.030144;7.271168;1034
1726565200850;-43.4058;102.6044;;0.29;62.029305;7.272972;1034
1726565228801;-4.3575;60.3650;2;0.29;62.029198;7.273360;1033
1726565395355;0.0473;0.0000;1;0.29;62.029205;7.273365;1034
1726565414730;44.2059;105.5123;;0.29;62.029697;7.274663;1030
1726565423132;6.1993;101.9572;;0.29;62.030159;7.275218;1027
1726565431729;12.8375;106.7313;;0.29;62.030876;7.277040;1026
1726565439028;60.3136;100.3978;;0.29;62.031212;7.277921;1026
1726565445326;49.9154;109.1360;;0.29;62.030926;7.280841;1026
1726565451527;-9.4949;100.4782;;0.29;62.030876;7.282505;1025
1726565458927;32.6530;109.0767;;0.29;62.030983;7.283926;1026
1726565467428;4.1361;111.7238;;0.29;62.031315;7.286516;1025
1726565476128;37.1715;107.4383;;0.29;62.031601;7.288511;1026
1726565482328;65.5174;100.4895;;0.29;62.031807;7.289771;1026
1726565488529;18.5028;105.7563;;0.28;62.031933;7.291384;1026
1726565495028;21.2184;109.9337;;0.28;62.032288;7.294522;1025
1726565501427;37.7504;117.7513;;0.28;62.032562;7.296138;1026
1726565507728;-11.2346;106.7646;;0.28;62.032890;7.297773;1026
1726565513927;27.4870;107.5613;;0.28;62.032974;7.299314;1026
1726565520328;13.4336;108.5650;;0.28;62.032509;7.302483;1025
1726565526830;49.9469;114.8484;;0.28;62.032375;7.304098;1026
1726565533028;43.3474;115.9590;;0.28;62.032284;7.305834;1028
1726565539428;13.0399;118.0177;;0.28;62.031784;7.309221;1032
1726565546928;10.4836;111.5387;;0.28;62.031563;7.310533;1034
1726565554229;44.8385;116.7025;;0.28;62.031693;7.311966;1035
1726565560628;12.8494;102.5620;;0.28;62.031612;7.315050;1037
1726565568127;12.3135;108.7213;;0.28;62.031872;7.316405;1038
1726565574329;51.4045;102.9120;;0.28;62.031750;7.317673;1039
1726565580528;21.9773;118.8040;;0.28;62.030521;7.319854;1037
1726565585728;8.7201;102.2856;;0.28;62.029766;7.320818;1036
1726565592028;-10.8440;115.8802;;0.28;62.028996;7.321647;1034
1726565598328;-9.5274;102.5716;;0.28;62.028191;7.321980;1033
1726565605728;-26.0078;103.0623;;0.28;62.027157;7.323728;1031
1726565612928;61.1725;104.8683;;0.28;62.027241;7.324791;1029
1726565619229;42.6642;120.0913;;0.28;62.027649;7.326084;1027
1726565625431;-4.6567;113.3805;;0.28;62.027969;7.329642;1027
1726565631728;28.2674;116.1409;;0.28;62.027718;7.331261;1026
1726565637028;15.2769;102.0192;;0.28;62.027088;7.332475;1025
1726565642219;6.0962;104.2927;;0.28;62.026566;7.333972;1022
1726565647428;4.8093;109.1920;;0.28;62.025970;7.335451;1018
1726565652727;4.7228;113.5677;;0.28;62.025341;7.336982;1015
1726565657928;3.7144;112.6216;;0.28;62.024738;7.338609;1011
1726565663319;13.0742;116.3237;;0.28;62.024101;7.340184;1009
1726565668628;13.7434;116.1980;;0.28;62.023342;7.341480;1008
1726565673927;-11.6489;111.2876;;0.28;62.022572;7.342801;1007
1726565679320;8.8056;110.3983;;0.28;62.021820;7.344034;1005
1726565684630;4.7873;110.8000;;0.28;62.020542;7.346931;1001
1726565690027;-23.7416;104.6788;;0.28;62.019928;7.348337;998
1726565695228;8.0918;100.5373;;0.28;62.019150;7.349124;995
1726565700727;1.8794;107.8042;;0.28;62.018417;7.350147;993
1726565706127;-3.6695;105.6200;;0.28;62.017769;7.351428;993
1726565711328;1.7979;103.7611;;0.28;62.017262;7.352964;989
1726565716529;1.5111;106.3214;;0.28;62.016930;7.354778;984
